score_bin,lower_bound,upper_bound,count,correct,incorrect,accuracy,error_rate,mean_entailment_score
"[0.0, 0.1)",0.0,0.1,80,21,59,0.2625,0.7375,0.01617484768084978
"[0.1, 0.2)",0.1,0.2,8,3,5,0.375,0.625,0.12810737546533346
"[0.2, 0.3)",0.2,0.3,4,1,3,0.25,0.75,0.24025160819292068
"[0.3, 0.4)",0.3,0.4,4,0,4,0.0,1.0,0.3413543701171875
"[0.4, 0.5)",0.4,0.5,7,5,2,0.7142857142857143,0.2857142857142857,0.4410195733819689
"[0.5, 0.6)",0.5,0.6,7,2,5,0.2857142857142857,0.7142857142857143,0.5403396912983486
"[0.6, 0.7)",0.6,0.7,5,2,3,0.4,0.6,0.6551122188568115
"[0.7, 0.8)",0.7,0.8,3,1,2,0.3333333333333333,0.6666666666666666,0.7554623285929362
"[0.8, 0.9)",0.8,0.9,8,2,6,0.25,0.75,0.8636572882533073
"[0.9, 1.0]",0.9,1.0,74,52,22,0.7027027027027027,0.2972972972972973,0.9659922904259449
