method,requested_coverage,actual_coverage,answered,total,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
Confidence only,0.1,0.1,50,500,0.86,0.14,7,43,450,184,266
Confidence only,0.2,0.2,100,500,0.83,0.17,17,83,400,144,256
Confidence only,0.3,0.3,150,500,0.86,0.14,21,129,350,98,252
Confidence only,0.4,0.4,200,500,0.845,0.155,31,169,300,58,242
Confidence only,0.5,0.5,250,500,0.788,0.212,53,197,250,30,220
Confidence only,0.6,0.6,300,500,0.7133333333333334,0.2866666666666667,86,214,200,13,187
Confidence only,0.7,0.7,350,500,0.6342857142857142,0.3657142857142857,128,222,150,5,145
Confidence only,0.8,0.8,400,500,0.565,0.435,174,226,100,1,99
Confidence only,0.9,0.9,450,500,0.5022222222222222,0.49777777777777776,224,226,50,1,49
Confidence only,1.0,1.0,500,500,0.454,0.546,273,227,0,0,0
Question-aware semantic V2,0.1,0.1,50,500,0.8,0.2,10,40,450,187,263
Question-aware semantic V2,0.2,0.2,100,500,0.75,0.25,25,75,400,152,248
Question-aware semantic V2,0.3,0.3,150,500,0.7333333333333333,0.26666666666666666,40,110,350,117,233
Question-aware semantic V2,0.4,0.4,200,500,0.68,0.32,64,136,300,91,209
Question-aware semantic V2,0.5,0.5,250,500,0.644,0.356,89,161,250,66,184
Question-aware semantic V2,0.6,0.6,300,500,0.5833333333333334,0.4166666666666667,125,175,200,52,148
Question-aware semantic V2,0.7,0.7,350,500,0.5342857142857143,0.4657142857142857,163,187,150,40,110
Question-aware semantic V2,0.8,0.8,400,500,0.495,0.505,202,198,100,29,71
Question-aware semantic V2,0.9,0.9,450,500,0.4577777777777778,0.5422222222222223,244,206,50,21,29
Question-aware semantic V2,1.0,1.0,500,500,0.454,0.546,273,227,0,0,0
Confidence + question-aware semantic V2,0.1,0.1,50,500,0.86,0.14,7,43,450,184,266
Confidence + question-aware semantic V2,0.2,0.2,100,500,0.85,0.15,15,85,400,142,258
Confidence + question-aware semantic V2,0.3,0.3,150,500,0.8533333333333334,0.14666666666666667,22,128,350,99,251
Confidence + question-aware semantic V2,0.4,0.4,200,500,0.785,0.215,43,157,300,70,230
Confidence + question-aware semantic V2,0.5,0.5,250,500,0.688,0.312,78,172,250,55,195
Confidence + question-aware semantic V2,0.6,0.6,300,500,0.62,0.38,114,186,200,41,159
Confidence + question-aware semantic V2,0.7,0.7,350,500,0.5514285714285714,0.44857142857142857,157,193,150,34,116
Confidence + question-aware semantic V2,0.8,0.8,400,500,0.505,0.495,198,202,100,25,75
Confidence + question-aware semantic V2,0.9,0.9,450,500,0.4577777777777778,0.5422222222222223,244,206,50,21,29
Confidence + question-aware semantic V2,1.0,1.0,500,500,0.454,0.546,273,227,0,0,0
Self-verifier only,0.1,0.1,50,500,0.68,0.32,16,34,450,193,257
Self-verifier only,0.2,0.2,100,500,0.7,0.3,30,70,400,157,243
Self-verifier only,0.3,0.3,150,500,0.6466666666666666,0.35333333333333333,53,97,350,130,220
Self-verifier only,0.4,0.4,200,500,0.625,0.375,75,125,300,102,198
Self-verifier only,0.5,0.5,250,500,0.596,0.404,101,149,250,78,172
Self-verifier only,0.6,0.6,300,500,0.58,0.42,126,174,200,53,147
Self-verifier only,0.7,0.7,350,500,0.5457142857142857,0.4542857142857143,159,191,150,36,114
Self-verifier only,0.8,0.8,400,500,0.5225,0.4775,191,209,100,18,82
Self-verifier only,0.9,0.9,450,500,0.4955555555555556,0.5044444444444445,227,223,50,4,46
Self-verifier only,1.0,1.0,500,500,0.454,0.546,273,227,0,0,0
Confidence + self-verifier,0.1,0.1,50,500,0.94,0.06,3,47,450,180,270
Confidence + self-verifier,0.2,0.2,100,500,0.85,0.15,15,85,400,142,258
Confidence + self-verifier,0.3,0.3,150,500,0.8333333333333334,0.16666666666666666,25,125,350,102,248
Confidence + self-verifier,0.4,0.4,200,500,0.805,0.195,39,161,300,66,234
Confidence + self-verifier,0.5,0.5,250,500,0.776,0.224,56,194,250,33,217
Confidence + self-verifier,0.6,0.6,300,500,0.7,0.3,90,210,200,17,183
Confidence + self-verifier,0.7,0.7,350,500,0.6257142857142857,0.3742857142857143,131,219,150,8,142
Confidence + self-verifier,0.8,0.8,400,500,0.5575,0.4425,177,223,100,4,96
Confidence + self-verifier,0.9,0.9,450,500,0.5022222222222222,0.49777777777777776,224,226,50,1,49
Confidence + self-verifier,1.0,1.0,500,500,0.454,0.546,273,227,0,0,0
