sample_size,seed,method,score_field,total_records,full_accuracy,aurc,normalized_aurc,incorrect_predictions,invalid_claim_rate,high_entailment_incorrect,high_entailment_incorrect_rate_among_incorrect,error_rate_within_high_entailment
200,17,Confidence only,calibrated_confidence,200,0.465,0.29253210508772437,0.31646200250609835,107,0.125,42,0.3925233644859813,0.39622641509433965
200,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,200,0.465,0.41906283303946745,0.673163084259093,107,0.125,42,0.3925233644859813,0.39622641509433965
200,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,200,0.465,0.34992697376459597,0.47826310865257676,107,0.125,42,0.3925233644859813,0.39622641509433965
200,17,Self-verifier only,normalized(self_verification_score),200,0.465,0.4253533851192804,0.6908966954380992,107,0.125,42,0.3925233644859813,0.39622641509433965
200,17,Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),200,0.465,0.28468466073836235,0.2943393771665727,107,0.125,42,0.3925233644859813,0.39622641509433965
500,17,Confidence only,calibrated_confidence,500,0.454,0.2765306865077305,0.24720694607469434,273,0.112,81,0.2967032967032967,0.34913793103448276
500,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,500,0.454,0.3722600843330929,0.5146378635526224,273,0.112,81,0.2967032967032967,0.34913793103448276
500,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,500,0.454,0.31475682256297527,0.3539959875720575,273,0.112,81,0.2967032967032967,0.34913793103448276
500,17,Self-verifier only,normalized(self_verification_score),500,0.454,0.410082199619718,0.6202982272635734,273,0.112,81,0.2967032967032967,0.34913793103448276
500,17,Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),500,0.454,0.27844466083816816,0.25255385019031323,273,0.112,81,0.2967032967032967,0.34913793103448276
1000,17,Confidence only,calibrated_confidence,1000,0.438,0.27612111152613694,0.20875821292801405,562,0.108,153,0.2722419928825623,0.3422818791946309
1000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,1000,0.438,0.3742905405840246,0.48046681966796645,562,0.108,153,0.2722419928825623,0.3422818791946309
1000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,1000,0.438,0.31539531212391164,0.31745944942959653,562,0.108,153,0.2722419928825623,0.3422818791946309
1000,17,Self-verifier only,normalized(self_verification_score),1000,0.438,0.4277479355804025,0.6284236169500234,562,0.108,153,0.2722419928825623,0.3422818791946309
1000,17,Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),1000,0.438,0.2869819207058913,0.23881823628375176,562,0.108,153,0.2722419928825623,0.3422818791946309
2000,17,Confidence only,calibrated_confidence,2000,0.4295,0.2825095919532839,0.20629311218701862,1141,0.115,297,0.26029798422436456,0.3485915492957746
2000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,2000,0.4295,0.3881333876631325,0.4973942455214974,1141,0.115,297,0.26029798422436456,0.3485915492957746
2000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,2000,0.4295,0.33050444835507636,0.33856782357087234,1141,0.115,297,0.26029798422436456,0.3485915492957746
2000,17,Self-verifier only,normalized(self_verification_score),2000,0.4295,0.43464368127481423,0.6255774744150364,1141,0.115,297,0.26029798422436456,0.3485915492957746
2000,17,Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),2000,0.4295,0.3018513970350422,0.2595994845077156,1141,0.115,297,0.26029798422436456,0.3485915492957746
3000,17,Confidence only,calibrated_confidence,3000,0.42333333333333334,0.2923775027936105,0.21855491923300044,1730,0.111,464,0.2682080924855491,0.3569230769230769
3000,17,Question-aware semantic V2,qa_entailment_probability; invalid claims=0,3000,0.42333333333333334,0.39439676580887323,0.4989822494225896,1730,0.111,464,0.2682080924855491,0.3569230769230769
3000,17,Confidence + question-aware semantic V2,sqrt(calibrated_confidence * qa_entailment_probability); invalid claims=0,3000,0.42333333333333334,0.3394386016381177,0.34791498236910756,1730,0.111,464,0.2682080924855491,0.3569230769230769
3000,17,Self-verifier only,normalized(self_verification_score),3000,0.42333333333333334,0.4337663494480015,0.6072001183258846,1730,0.111,464,0.2682080924855491,0.3569230769230769
3000,17,Confidence + self-verifier,sqrt(calibrated_confidence * normalized(self_verification_score)),3000,0.42333333333333334,0.309102984779123,0.264529396216133,1730,0.111,464,0.2682080924855491,0.3569230769230769
