method,answered,coverage,selective_accuracy,risk,wrong_answered
Confidence only,1,0.005,1.0,0.0,0
Confidence only,2,0.01,1.0,0.0,0
Confidence only,3,0.015,1.0,0.0,0
Confidence only,4,0.02,1.0,0.0,0
Confidence only,5,0.025,1.0,0.0,0
Confidence only,6,0.03,1.0,0.0,0
Confidence only,7,0.035,1.0,0.0,0
Confidence only,8,0.04,1.0,0.0,0
Confidence only,9,0.045,1.0,0.0,0
Confidence only,10,0.05,1.0,0.0,0
Confidence only,11,0.055,1.0,0.0,0
Confidence only,12,0.06,1.0,0.0,0
Confidence only,13,0.065,1.0,0.0,0
Confidence only,14,0.07,1.0,0.0,0
Confidence only,15,0.075,1.0,0.0,0
Confidence only,16,0.08,1.0,0.0,0
Confidence only,17,0.085,1.0,0.0,0
Confidence only,18,0.09,1.0,0.0,0
Confidence only,19,0.095,1.0,0.0,0
Confidence only,20,0.1,1.0,0.0,0
Confidence only,21,0.105,1.0,0.0,0
Confidence only,22,0.11,1.0,0.0,0
Confidence only,23,0.115,1.0,0.0,0
Confidence only,24,0.12,1.0,0.0,0
Confidence only,25,0.125,1.0,0.0,0
Confidence only,26,0.13,1.0,0.0,0
Confidence only,27,0.135,1.0,0.0,0
Confidence only,28,0.14,1.0,0.0,0
Confidence only,29,0.145,1.0,0.0,0
Confidence only,30,0.15,1.0,0.0,0
Confidence only,31,0.155,1.0,0.0,0
Confidence only,32,0.16,1.0,0.0,0
Confidence only,33,0.165,1.0,0.0,0
Confidence only,34,0.17,1.0,0.0,0
Confidence only,35,0.175,1.0,0.0,0
Confidence only,36,0.18,1.0,0.0,0
Confidence only,37,0.185,1.0,0.0,0
Confidence only,38,0.19,1.0,0.0,0
Confidence only,39,0.195,0.9743589743589743,0.02564102564102564,1
Confidence only,40,0.2,0.975,0.025,1
Confidence only,41,0.205,0.975609756097561,0.024390243902439025,1
Confidence only,42,0.21,0.9761904761904762,0.023809523809523808,1
Confidence only,43,0.215,0.9767441860465116,0.023255813953488372,1
Confidence only,44,0.22,0.9772727272727273,0.022727272727272728,1
Confidence only,45,0.225,0.9777777777777777,0.022222222222222223,1
Confidence only,46,0.23,0.9782608695652174,0.021739130434782608,1
Confidence only,47,0.235,0.9787234042553191,0.02127659574468085,1
Confidence only,48,0.24,0.9583333333333334,0.041666666666666664,2
Confidence only,49,0.245,0.9591836734693877,0.04081632653061224,2
Confidence only,50,0.25,0.94,0.06,3
Confidence only,51,0.255,0.9411764705882353,0.058823529411764705,3
Confidence only,52,0.26,0.9423076923076923,0.057692307692307696,3
Confidence only,53,0.265,0.9433962264150944,0.05660377358490566,3
Confidence only,54,0.27,0.9444444444444444,0.05555555555555555,3
Confidence only,55,0.275,0.9454545454545454,0.05454545454545454,3
Confidence only,56,0.28,0.9464285714285714,0.05357142857142857,3
Confidence only,57,0.285,0.9473684210526315,0.05263157894736842,3
Confidence only,58,0.29,0.9482758620689655,0.05172413793103448,3
Confidence only,59,0.295,0.9491525423728814,0.05084745762711865,3
Confidence only,60,0.3,0.9333333333333333,0.06666666666666667,4
Confidence only,61,0.305,0.9344262295081968,0.06557377049180328,4
Confidence only,62,0.31,0.9354838709677419,0.06451612903225806,4
Confidence only,63,0.315,0.9365079365079365,0.06349206349206349,4
Confidence only,64,0.32,0.9375,0.0625,4
Confidence only,65,0.325,0.9230769230769231,0.07692307692307693,5
Confidence only,66,0.33,0.9090909090909091,0.09090909090909091,6
Confidence only,67,0.335,0.9104477611940298,0.08955223880597014,6
Confidence only,68,0.34,0.9117647058823529,0.08823529411764706,6
Confidence only,69,0.345,0.9130434782608695,0.08695652173913043,6
Confidence only,70,0.35,0.9142857142857143,0.08571428571428572,6
Confidence only,71,0.355,0.9154929577464789,0.08450704225352113,6
Confidence only,72,0.36,0.9027777777777778,0.09722222222222222,7
Confidence only,73,0.365,0.9041095890410958,0.0958904109589041,7
Confidence only,74,0.37,0.9054054054054054,0.0945945945945946,7
Confidence only,75,0.375,0.9066666666666666,0.09333333333333334,7
Confidence only,76,0.38,0.9078947368421053,0.09210526315789473,7
Confidence only,77,0.385,0.8961038961038961,0.1038961038961039,8
Confidence only,78,0.39,0.8846153846153846,0.11538461538461539,9
Confidence only,79,0.395,0.8734177215189873,0.12658227848101267,10
Confidence only,80,0.4,0.875,0.125,10
Confidence only,81,0.405,0.8641975308641975,0.13580246913580246,11
Confidence only,82,0.41,0.8536585365853658,0.14634146341463414,12
Confidence only,83,0.415,0.8554216867469879,0.14457831325301204,12
