target_coverage,confidence_coverage,confidence_accuracy,confidence_risk,hybrid_coverage,hybrid_accuracy,hybrid_risk,random_coverage,random_mean_accuracy,random_mean_risk,random_risk_std,random_minimum_risk,random_maximum_risk,confidence_vs_random_risk_improvement,hybrid_vs_random_risk_improvement,hybrid_minus_confidence_risk
0.1,0.1,1.0,0.0,0.1,0.8,0.2,0.1,0.4525,0.5475,0.11453711188955307,0.30000000000000004,0.75,0.5475,0.3475,0.2
0.2,0.2,0.975,0.025,0.2,0.85,0.15,0.2,0.45125000000000004,0.54875,0.0788491439395508,0.42500000000000004,0.7,0.5237499999999999,0.39874999999999994,0.125
0.3,0.3,0.9333333333333333,0.06666666666666667,0.3,0.8166666666666667,0.18333333333333332,0.3,0.4666666666666667,0.5333333333333333,0.060781941762701575,0.4,0.6666666666666667,0.4666666666666667,0.35,0.11666666666666665
0.4,0.4,0.8875,0.1125,0.4,0.7875,0.2125,0.4,0.46312499999999995,0.536875,0.037180934294339614,0.44999999999999996,0.6,0.424375,0.32437499999999997,0.09999999999999999
0.5,0.5,0.84,0.16,0.5,0.74,0.26,0.5,0.4535,0.5465000000000001,0.028332843133014405,0.49,0.5800000000000001,0.38650000000000007,0.2865000000000001,0.1
0.6,0.6,0.7333333333333333,0.26666666666666666,0.6,0.7,0.3,0.6,0.44958333333333333,0.5504166666666667,0.030898017735770677,0.4916666666666667,0.6083333333333334,0.28375,0.2504166666666667,0.033333333333333326
0.7,0.7,0.6428571428571429,0.35714285714285715,0.7,0.6357142857142857,0.36428571428571427,0.7,0.45071428571428573,0.5492857142857143,0.02524371006724613,0.5,0.6071428571428572,0.19214285714285712,0.185,0.0071428571428571175
0.8,0.8,0.5625,0.4375,0.8,0.5625,0.4375,0.8,0.44625000000000004,0.55375,0.01999999999999999,0.51875,0.60625,0.11624999999999996,0.11624999999999996,0.0
0.9,0.9,0.5,0.5,0.9,0.5,0.5,0.9,0.445,0.5549999999999999,0.011506841765115532,0.5333333333333333,0.5777777777777777,0.05499999999999994,0.05499999999999994,0.0
1.0,1.0,0.455,0.545,1.0,0.455,0.545,1.0,0.445,0.5549999999999999,0.0,0.5549999999999999,0.5549999999999999,0.009999999999999898,0.009999999999999898,0.0
