answered,coverage,selective_accuracy,selective_risk,minimum_score
0,0.0,1.0,0.0,1.0
1,0.005,1.0,0.0,0.9857133062658788
2,0.01,1.0,0.0,0.9835162507672636
3,0.015,1.0,0.0,0.9814850510987989
4,0.02,1.0,0.0,0.9806482588009804
5,0.025,1.0,0.0,0.9803376532515647
6,0.03,1.0,0.0,0.9802184985402377
7,0.035,1.0,0.0,0.9801877330335557
8,0.04,1.0,0.0,0.9795792307826358
9,0.045,1.0,0.0,0.9795044001941382
10,0.05,1.0,0.0,0.9756215685397547
11,0.055,1.0,0.0,0.9746203672908421
12,0.06,1.0,0.0,0.9739859247909105
13,0.065,1.0,0.0,0.973338077640262
14,0.07,1.0,0.0,0.9721571573961417
15,0.075,1.0,0.0,0.9718185565347682
16,0.08,1.0,0.0,0.9712831214989923
17,0.085,1.0,0.0,0.9685481411783303
18,0.09,1.0,0.0,0.9683167352970405
19,0.095,1.0,0.0,0.9667477981623792
20,0.1,1.0,0.0,0.9662990209400101
21,0.105,1.0,0.0,0.9653050722533428
22,0.11,1.0,0.0,0.9642735253480498
23,0.115,1.0,0.0,0.9632784705024455
24,0.12,1.0,0.0,0.9628836710021287
25,0.125,1.0,0.0,0.9618972323257872
26,0.13,1.0,0.0,0.9618708691324481
27,0.135,1.0,0.0,0.961180812425328
28,0.14,1.0,0.0,0.9601191849580998
29,0.145,1.0,0.0,0.95905572009945
30,0.15,1.0,0.0,0.9569036806406288
31,0.155,1.0,0.0,0.9559516063883534
32,0.16,1.0,0.0,0.9558926678096453
33,0.165,1.0,0.0,0.9558256090361632
34,0.17,1.0,0.0,0.9555810559477034
35,0.175,1.0,0.0,0.953653048167266
36,0.18,1.0,0.0,0.9530483971308018
37,0.185,1.0,0.0,0.9521276493564597
38,0.19,1.0,0.0,0.9500316647627998
39,0.195,0.9743589743589743,0.02564102564102564,0.948732787927853
40,0.2,0.975,0.025,0.9462062737042566
41,0.205,0.975609756097561,0.024390243902439025,0.941393499564291
42,0.21,0.9761904761904762,0.023809523809523808,0.9405680221743278
43,0.215,0.9767441860465116,0.023255813953488372,0.9389877869297771
44,0.22,0.9772727272727273,0.022727272727272728,0.9387853831158767
45,0.225,0.9777777777777777,0.022222222222222223,0.9385821641811807
46,0.23,0.9782608695652174,0.021739130434782608,0.9373699411289448
47,0.235,0.9787234042553191,0.02127659574468085,0.9307867697614183
48,0.24,0.9583333333333334,0.041666666666666664,0.9268855460125414
49,0.245,0.9591836734693877,0.04081632653061224,0.9251168844288852
50,0.25,0.94,0.06,0.92162638850456
51,0.255,0.9411764705882353,0.058823529411764705,0.9145528901232818
52,0.26,0.9423076923076923,0.057692307692307696,0.9129694492665166
53,0.265,0.9433962264150944,0.05660377358490566,0.9120991926658719
54,0.27,0.9444444444444444,0.05555555555555555,0.9115627371423256
55,0.275,0.9454545454545454,0.05454545454545454,0.9053449738736612
56,0.28,0.9464285714285714,0.05357142857142857,0.9032991880038765
57,0.285,0.9473684210526315,0.05263157894736842,0.9014402564560507
58,0.29,0.9482758620689655,0.05172413793103448,0.9005483053922116
59,0.295,0.9491525423728814,0.05084745762711865,0.8959928585172202
60,0.3,0.9333333333333333,0.06666666666666667,0.8939628120781524
61,0.305,0.9344262295081968,0.06557377049180328,0.8925771591911149
62,0.31,0.9354838709677419,0.06451612903225806,0.8903935733692253
63,0.315,0.9365079365079365,0.06349206349206349,0.880706274767697
64,0.32,0.9375,0.0625,0.8683615507558584
65,0.325,0.9384615384615385,0.06153846153846154,0.8670160842753855
66,0.33,0.9242424242424242,0.07575757575757576,0.8667354056800317
67,0.335,0.9253731343283582,0.07462686567164178,0.8632274923045403
68,0.34,0.9264705882352942,0.07352941176470588,0.8493610486140998
69,0.345,0.927536231884058,0.07246376811594203,0.8440893221892153
70,0.35,0.9285714285714286,0.07142857142857142,0.836062039312359
71,0.355,0.9295774647887324,0.07042253521126761,0.8341603931402444
72,0.36,0.9166666666666666,0.08333333333333333,0.8212562035919636
73,0.365,0.9178082191780822,0.0821917808219178,0.8149347419572986
74,0.37,0.918918918918919,0.08108108108108109,0.8109497582087609
75,0.375,0.92,0.08,0.8062842590874093
76,0.38,0.9210526315789473,0.07894736842105263,0.7992722247546041
77,0.385,0.9090909090909091,0.09090909090909091,0.7919244759086691
78,0.39,0.8974358974358975,0.10256410256410256,0.7883991671453736
79,0.395,0.8860759493670886,0.11392405063291139,0.7820035801705992
80,0.4,0.8875,0.1125,0.7722314446349157
81,0.405,0.8765432098765432,0.12345679012345678,0.7696630375441468
82,0.41,0.8780487804878049,0.12195121951219512,0.7662584544046562
83,0.415,0.8795180722891566,0.12048192771084337,0.7605399215574816
84,0.42,0.8809523809523809,0.11904761904761904,0.7558053643881522
85,0.425,0.8705882352941177,0.12941176470588237,0.7480789449084898
86,0.43,0.872093023255814,0.12790697674418605,0.7406811542123056
87,0.435,0.8735632183908046,0.12643678160919541,0.7370796762288839
88,0.44,0.8636363636363636,0.13636363636363635,0.731125759282742
89,0.445,0.8651685393258427,0.1348314606741573,0.7299626539446161
90,0.45,0.8666666666666667,0.13333333333333333,0.7290028444426943
91,0.455,0.8571428571428571,0.14285714285714285,0.7216638343339719
92,0.46,0.8586956521739131,0.14130434782608695,0.6955898877533083
93,0.465,0.8602150537634409,0.13978494623655913,0.6511987364064725
94,0.47,0.8617021276595744,0.13829787234042554,0.6371176134792627
95,0.475,0.8631578947368421,0.1368421052631579,0.6350656606650418
96,0.48,0.8645833333333334,0.13541666666666666,0.6281543926719755
97,0.485,0.8556701030927835,0.14432989690721648,0.6042804520990793
98,0.49,0.8469387755102041,0.15306122448979592,0.5930450157029469
99,0.495,0.8383838383838383,0.16161616161616163,0.5877754460789173
100,0.5,0.84,0.16,0.5756511650546696
101,0.505,0.8316831683168316,0.16831683168316833,0.5587306484459198
102,0.51,0.8235294117647058,0.17647058823529413,0.5564346191425256
103,0.515,0.8155339805825242,0.18446601941747573,0.5397384353745028
104,0.52,0.8076923076923077,0.19230769230769232,0.5376370379300911
105,0.525,0.8,0.2,0.5263861096617741
106,0.53,0.8018867924528302,0.19811320754716982,0.5234587493683037
107,0.535,0.794392523364486,0.205607476635514,0.5143793158130662
108,0.54,0.7870370370370371,0.21296296296296297,0.5055698607543851
109,0.545,0.7798165137614679,0.22018348623853212,0.495050571256305
110,0.55,0.7727272727272727,0.22727272727272727,0.4859029676751463
111,0.555,0.7747747747747747,0.22522522522522523,0.4608946225160896
112,0.56,0.7678571428571429,0.23214285714285715,0.4585676160126772
113,0.565,0.7610619469026548,0.23893805309734514,0.4474821315815432
114,0.57,0.7543859649122807,0.24561403508771928,0.44116548933368865
115,0.575,0.7478260869565218,0.25217391304347825,0.44040564081186
116,0.58,0.7413793103448276,0.25862068965517243,0.4302059716545203
117,0.585,0.7350427350427351,0.26495726495726496,0.41734775595781676
118,0.59,0.7288135593220338,0.2711864406779661,0.3994653253004222
119,0.595,0.7310924369747899,0.2689075630252101,0.38616310548497207
120,0.6,0.7333333333333333,0.26666666666666666,0.3714167896028451
121,0.605,0.7272727272727273,0.2727272727272727,0.363255588632278
122,0.61,0.7213114754098361,0.2786885245901639,0.3603306808842687
123,0.615,0.7154471544715447,0.2845528455284553,0.35949936417231326
124,0.62,0.7096774193548387,0.2903225806451613,0.32854786806395
125,0.625,0.704,0.296,0.3005757306661463
126,0.63,0.6984126984126984,0.30158730158730157,0.29780401789676997
127,0.635,0.7007874015748031,0.2992125984251969,0.29589816494866333
128,0.64,0.6953125,0.3046875,0.19778933520545883
129,0.645,0.689922480620155,0.31007751937984496,0.18149829994142863
130,0.65,0.6846153846153846,0.3153846153846154,0.17116485453368252
131,0.655,0.6793893129770993,0.32061068702290074,0.14089824066702566
132,0.66,0.6742424242424242,0.32575757575757575,0.1370053221844581
133,0.665,0.6766917293233082,0.3233082706766917,0.13591704046389017
134,0.67,0.6716417910447762,0.3283582089552239,0.1203989241137044
135,0.675,0.6666666666666666,0.3333333333333333,0.11583980599616187
136,0.68,0.6617647058823529,0.3382352941176471,0.11457882041321474
137,0.685,0.656934306569343,0.34306569343065696,0.11419233858868898
138,0.69,0.6521739130434783,0.34782608695652173,0.11302835452922842
139,0.695,0.6474820143884892,0.35251798561151076,0.11130115573694298
140,0.7,0.6428571428571429,0.35714285714285715,0.10428750547233186
141,0.705,0.6382978723404256,0.3617021276595745,0.09810765748604855
142,0.71,0.6338028169014085,0.36619718309859156,0.09798990298256308
143,0.715,0.6293706293706294,0.3706293706293706,0.09411832399923073
144,0.72,0.625,0.375,0.09334629520530317
145,0.725,0.6206896551724138,0.3793103448275862,0.08828379345756328
146,0.73,0.6164383561643836,0.3835616438356164,0.0787708538218728
147,0.735,0.6122448979591837,0.3877551020408163,0.07618093832758756
148,0.74,0.6081081081081081,0.3918918918918919,0.07162930323877542
149,0.745,0.6040268456375839,0.3959731543624161,0.06955551083686264
150,0.75,0.6,0.4,0.06209485467965244
151,0.755,0.5960264900662252,0.40397350993377484,0.06115705834630338
152,0.76,0.5921052631578947,0.40789473684210525,0.059536692904194825
153,0.765,0.5882352941176471,0.4117647058823529,0.054541344965276684
154,0.77,0.5844155844155844,0.4155844155844156,0.0487881398752631
155,0.775,0.5806451612903226,0.41935483870967744,0.048381396708390215
156,0.78,0.5769230769230769,0.4230769230769231,0.04582087267855155
157,0.785,0.5732484076433121,0.4267515923566879,0.044353571364495775
158,0.79,0.569620253164557,0.43037974683544306,0.04250903890413134
159,0.795,0.5660377358490566,0.4339622641509434,0.04188439094789773
160,0.8,0.5625,0.4375,0.03984677814049648
161,0.805,0.5590062111801242,0.4409937888198758,0.039728138430493616
162,0.81,0.5555555555555556,0.4444444444444444,0.035201475454033446
163,0.815,0.5521472392638037,0.44785276073619634,0.03197576172987014
164,0.82,0.5487804878048781,0.45121951219512196,0.029949593219753212
165,0.825,0.5454545454545454,0.45454545454545453,0.027906196249771316
166,0.83,0.5421686746987951,0.4578313253012048,0.027175179460690344
167,0.835,0.5389221556886228,0.46107784431137727,0.025362225093174134
168,0.84,0.5357142857142857,0.4642857142857143,0.024092216229028095
169,0.845,0.5325443786982249,0.46745562130177515,0.01988577326798611
