threshold,total,answered,abstained,coverage,selective_accuracy,selective_risk,correct_answered,wrong_answered
0.0,200,200,0,1.0,0.455,0.545,91,109
0.01,200,187,13,0.935,0.48128342245989303,0.5187165775401069,90,97
0.02,200,168,32,0.84,0.5357142857142857,0.4642857142857143,90,78
0.03,200,163,37,0.815,0.5521472392638037,0.44785276073619634,90,73
0.04,200,159,41,0.795,0.5660377358490566,0.4339622641509434,90,69
0.05,200,153,47,0.765,0.5882352941176471,0.4117647058823529,90,63
0.06,200,151,49,0.755,0.5960264900662252,0.40397350993377484,90,61
0.07,200,148,52,0.74,0.6081081081081081,0.3918918918918919,90,58
0.08,200,145,55,0.725,0.6206896551724138,0.3793103448275862,90,55
0.09,200,144,56,0.72,0.625,0.375,90,54
0.1,200,140,60,0.7,0.6428571428571429,0.35714285714285715,90,50
0.11,200,139,61,0.695,0.6474820143884892,0.35251798561151076,90,49
0.12,200,134,66,0.67,0.6716417910447762,0.3283582089552239,90,44
0.13,200,133,67,0.665,0.6766917293233082,0.3233082706766917,90,43
0.14,200,131,69,0.655,0.6793893129770993,0.32061068702290074,89,42
0.15,200,130,70,0.65,0.6846153846153846,0.3153846153846154,89,41
0.16,200,130,70,0.65,0.6846153846153846,0.3153846153846154,89,41
0.17,200,130,70,0.65,0.6846153846153846,0.3153846153846154,89,41
0.18,200,129,71,0.645,0.689922480620155,0.31007751937984496,89,40
0.19,200,128,72,0.64,0.6953125,0.3046875,89,39
0.2,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.21,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.22,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.23,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.24,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.25,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.26,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.27,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.28,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.29,200,127,73,0.635,0.7007874015748031,0.2992125984251969,89,38
0.3,200,125,75,0.625,0.704,0.296,88,37
0.31,200,124,76,0.62,0.7096774193548387,0.2903225806451613,88,36
0.32,200,124,76,0.62,0.7096774193548387,0.2903225806451613,88,36
0.33,200,123,77,0.615,0.7154471544715447,0.2845528455284553,88,35
0.34,200,123,77,0.615,0.7154471544715447,0.2845528455284553,88,35
0.35,200,123,77,0.615,0.7154471544715447,0.2845528455284553,88,35
0.36,200,122,78,0.61,0.7213114754098361,0.2786885245901639,88,34
0.37,200,120,80,0.6,0.7333333333333333,0.26666666666666666,88,32
0.38,200,119,81,0.595,0.7310924369747899,0.2689075630252101,87,32
0.39,200,118,82,0.59,0.7288135593220338,0.2711864406779661,86,32
0.4,200,117,83,0.585,0.7350427350427351,0.26495726495726496,86,31
0.41,200,117,83,0.585,0.7350427350427351,0.26495726495726496,86,31
0.42,200,116,84,0.58,0.7413793103448276,0.25862068965517243,86,30
0.43,200,116,84,0.58,0.7413793103448276,0.25862068965517243,86,30
0.44,200,115,85,0.575,0.7478260869565218,0.25217391304347825,86,29
0.45,200,112,88,0.56,0.7678571428571429,0.23214285714285715,86,26
0.46,200,111,89,0.555,0.7747747747747747,0.22522522522522523,86,25
0.47,200,110,90,0.55,0.7727272727272727,0.22727272727272727,85,25
0.48,200,110,90,0.55,0.7727272727272727,0.22727272727272727,85,25
0.49,200,109,91,0.545,0.7798165137614679,0.22018348623853212,85,24
0.5,200,108,92,0.54,0.7870370370370371,0.21296296296296297,85,23
0.51,200,107,93,0.535,0.794392523364486,0.205607476635514,85,22
0.52,200,106,94,0.53,0.8018867924528302,0.19811320754716982,85,21
0.53,200,104,96,0.52,0.8076923076923077,0.19230769230769232,84,20
0.54,200,102,98,0.51,0.8235294117647058,0.17647058823529413,84,18
0.55,200,102,98,0.51,0.8235294117647058,0.17647058823529413,84,18
0.56,200,100,100,0.5,0.84,0.16,84,16
0.57,200,100,100,0.5,0.84,0.16,84,16
0.58,200,99,101,0.495,0.8383838383838383,0.16161616161616163,83,16
0.59,200,98,102,0.49,0.8469387755102041,0.15306122448979592,83,15
0.6,200,97,103,0.485,0.8556701030927835,0.14432989690721648,83,14
0.61,200,96,104,0.48,0.8645833333333334,0.13541666666666666,83,13
0.62,200,96,104,0.48,0.8645833333333334,0.13541666666666666,83,13
0.63,200,95,105,0.475,0.8631578947368421,0.1368421052631579,82,13
0.64,200,93,107,0.465,0.8602150537634409,0.13978494623655913,80,13
0.65,200,93,107,0.465,0.8602150537634409,0.13978494623655913,80,13
0.66,200,92,108,0.46,0.8586956521739131,0.14130434782608695,79,13
0.67,200,92,108,0.46,0.8586956521739131,0.14130434782608695,79,13
0.68,200,92,108,0.46,0.8586956521739131,0.14130434782608695,79,13
0.69,200,92,108,0.46,0.8586956521739131,0.14130434782608695,79,13
0.7,200,91,109,0.455,0.8571428571428571,0.14285714285714285,78,13
0.71,200,91,109,0.455,0.8571428571428571,0.14285714285714285,78,13
0.72,200,91,109,0.455,0.8571428571428571,0.14285714285714285,78,13
0.73,200,88,112,0.44,0.8636363636363636,0.13636363636363635,76,12
0.74,200,86,114,0.43,0.872093023255814,0.12790697674418605,75,11
0.75,200,84,116,0.42,0.8809523809523809,0.11904761904761904,74,10
0.76,200,83,117,0.415,0.8795180722891566,0.12048192771084337,73,10
0.77,200,80,120,0.4,0.8875,0.1125,71,9
0.78,200,79,121,0.395,0.8860759493670886,0.11392405063291139,70,9
0.79,200,77,123,0.385,0.9090909090909091,0.09090909090909091,70,7
0.8,200,75,125,0.375,0.92,0.08,69,6
0.81,200,74,126,0.37,0.918918918918919,0.08108108108108109,68,6
0.82,200,72,128,0.36,0.9166666666666666,0.08333333333333333,66,6
0.83,200,71,129,0.355,0.9295774647887324,0.07042253521126761,66,5
0.84,200,69,131,0.345,0.927536231884058,0.07246376811594203,64,5
0.85,200,67,133,0.335,0.9253731343283582,0.07462686567164178,62,5
0.86,200,67,133,0.335,0.9253731343283582,0.07462686567164178,62,5
0.87,200,63,137,0.315,0.9365079365079365,0.06349206349206349,59,4
0.88,200,63,137,0.315,0.9365079365079365,0.06349206349206349,59,4
0.89,200,62,138,0.31,0.9354838709677419,0.06451612903225806,58,4
0.9,200,58,142,0.29,0.9482758620689655,0.05172413793103448,55,3
0.91,200,54,146,0.27,0.9444444444444444,0.05555555555555555,51,3
0.92,200,50,150,0.25,0.94,0.06,47,3
0.93,200,47,153,0.235,0.9787234042553191,0.02127659574468085,46,1
0.94,200,42,158,0.21,0.9761904761904762,0.023809523809523808,41,1
0.95,200,38,162,0.19,1.0,0.0,38,0
0.96,200,28,172,0.14,1.0,0.0,28,0
0.97,200,16,184,0.08,1.0,0.0,16,0
0.98,200,7,193,0.035,1.0,0.0,7,0
0.99,200,0,200,0.0,1.0,0.0,0,0
1.0,200,0,200,0.0,1.0,0.0,0,0
