answered,coverage,selective_accuracy,selective_risk,minimum_score
0,0.0,1.0,0.0,1.0
1,0.005,1.0,0.0,0.9669337952365668
2,0.01,1.0,0.0,0.9479236049132402
3,0.015,1.0,0.0,0.9215056864865164
4,0.02,0.75,0.25,0.9197940077974716
5,0.025,0.8,0.2,0.9159368404437296
6,0.03,0.8333333333333334,0.16666666666666666,0.9143391585525402
7,0.035,0.8571428571428571,0.14285714285714285,0.9120575125333809
8,0.04,0.875,0.125,0.9093321815593531
9,0.045,0.8888888888888888,0.1111111111111111,0.909252192113029
10,0.05,0.9,0.1,0.9037939981434843
11,0.055,0.9090909090909091,0.09090909090909091,0.9018858356212017
12,0.06,0.9166666666666666,0.08333333333333333,0.9008324864077157
13,0.065,0.9230769230769231,0.07692307692307693,0.8968079840316092
14,0.07,0.8571428571428571,0.14285714285714285,0.8928661345830786
15,0.075,0.8666666666666667,0.13333333333333333,0.8901696217307755
16,0.08,0.875,0.125,0.8892224159842401
17,0.085,0.8235294117647058,0.17647058823529413,0.8870551415135813
18,0.09,0.7777777777777778,0.2222222222222222,0.884032887180831
19,0.095,0.7894736842105263,0.21052631578947367,0.8758421734737636
20,0.1,0.8,0.2,0.8735823935093087
21,0.105,0.8095238095238095,0.19047619047619047,0.8664591583335493
22,0.11,0.8181818181818182,0.18181818181818182,0.86452918080438
23,0.115,0.8260869565217391,0.17391304347826086,0.8601850005465649
24,0.12,0.8333333333333334,0.16666666666666666,0.8592129784472927
25,0.125,0.8,0.2,0.858539652097835
26,0.13,0.8076923076923077,0.19230769230769232,0.8493157545418886
27,0.135,0.8148148148148148,0.18518518518518517,0.8408893643222677
28,0.14,0.8214285714285714,0.17857142857142858,0.8404519113239806
29,0.145,0.8275862068965517,0.1724137931034483,0.8390059986653693
30,0.15,0.8333333333333334,0.16666666666666666,0.8359115151453671
31,0.155,0.8387096774193549,0.16129032258064516,0.8281172528197112
32,0.16,0.84375,0.15625,0.8273015088988727
33,0.165,0.8484848484848485,0.15151515151515152,0.8232168142918584
34,0.17,0.8529411764705882,0.14705882352941177,0.8175354506216548
35,0.175,0.8571428571428571,0.14285714285714285,0.8138640618026123
36,0.18,0.8611111111111112,0.1388888888888889,0.8032934309027022
37,0.185,0.8648648648648649,0.13513513513513514,0.800462495827607
38,0.19,0.8421052631578947,0.15789473684210525,0.797145482177968
39,0.195,0.8461538461538461,0.15384615384615385,0.7964511368117323
40,0.2,0.85,0.15,0.7960567631318689
41,0.205,0.8536585365853658,0.14634146341463414,0.7960013191496638
42,0.21,0.8571428571428571,0.14285714285714285,0.7897258705546409
43,0.215,0.8604651162790697,0.13953488372093023,0.7893971924085219
44,0.22,0.8636363636363636,0.13636363636363635,0.780040976329134
45,0.225,0.8666666666666667,0.13333333333333333,0.7741910036222551
46,0.23,0.8695652173913043,0.13043478260869565,0.7728477950363258
47,0.235,0.8723404255319149,0.1276595744680851,0.7700965491114969
48,0.24,0.8541666666666666,0.14583333333333334,0.7693975017881975
49,0.245,0.8571428571428571,0.14285714285714285,0.7687455662140035
50,0.25,0.86,0.14,0.7667916307272843
51,0.255,0.8431372549019608,0.1568627450980392,0.7578686819799004
52,0.26,0.8461538461538461,0.15384615384615385,0.7446534630360577
53,0.265,0.8301886792452831,0.16981132075471697,0.7396994439972148
54,0.27,0.8333333333333334,0.16666666666666666,0.7298256800055293
55,0.275,0.8181818181818182,0.18181818181818182,0.7253868827912576
56,0.28,0.8214285714285714,0.17857142857142858,0.7224648143309691
57,0.285,0.8070175438596491,0.19298245614035087,0.7174042489694828
58,0.29,0.8103448275862069,0.1896551724137931,0.7172028701698211
59,0.295,0.8135593220338984,0.1864406779661017,0.7120004669605715
60,0.3,0.8166666666666667,0.18333333333333332,0.7081559350605882
61,0.305,0.8032786885245902,0.19672131147540983,0.7050410800720192
62,0.31,0.8064516129032258,0.1935483870967742,0.7033332345059917
63,0.315,0.8095238095238095,0.19047619047619047,0.7023875126323087
64,0.32,0.8125,0.1875,0.7011354798179967
65,0.325,0.8,0.2,0.6992486752393778
66,0.33,0.803030303030303,0.19696969696969696,0.6979935513918363
67,0.335,0.8059701492537313,0.19402985074626866,0.6949582135810592
68,0.34,0.8088235294117647,0.19117647058823528,0.6905007057148496
69,0.345,0.8115942028985508,0.18840579710144928,0.6820288576445787
70,0.35,0.8142857142857143,0.18571428571428572,0.6812165793570303
71,0.355,0.8169014084507042,0.18309859154929578,0.6761615833429697
72,0.36,0.8194444444444444,0.18055555555555555,0.6746343265579863
73,0.365,0.8082191780821918,0.1917808219178082,0.6741672247312034
74,0.37,0.8108108108108109,0.1891891891891892,0.671329580565726
75,0.375,0.8133333333333334,0.18666666666666668,0.6687691946125593
76,0.38,0.8026315789473685,0.19736842105263158,0.6678873847141007
77,0.385,0.7922077922077922,0.2077922077922078,0.665342405043003
78,0.39,0.7948717948717948,0.20512820512820512,0.6643468361676522
79,0.395,0.7974683544303798,0.20253164556962025,0.6604326275859695
80,0.4,0.7875,0.2125,0.657007998820041
81,0.405,0.7901234567901234,0.20987654320987653,0.6459688118985806
82,0.41,0.7926829268292683,0.2073170731707317,0.6312303924026448
83,0.415,0.7951807228915663,0.20481927710843373,0.6298473586791575
84,0.42,0.7976190476190477,0.20238095238095238,0.628473809275821
85,0.425,0.788235294117647,0.21176470588235294,0.6188857920032061
86,0.43,0.7906976744186046,0.20930232558139536,0.6114310604626738
87,0.435,0.7816091954022989,0.21839080459770116,0.6076725769670241
88,0.44,0.7727272727272727,0.22727272727272727,0.6044955759824964
89,0.445,0.7752808988764045,0.2247191011235955,0.6036057678952014
90,0.45,0.7777777777777778,0.2222222222222222,0.6031601566344625
91,0.455,0.7802197802197802,0.21978021978021978,0.6008576980321545
92,0.46,0.7717391304347826,0.22826086956521738,0.5949949598867736
93,0.465,0.7634408602150538,0.23655913978494625,0.5913009608316271
94,0.47,0.7659574468085106,0.23404255319148937,0.5858469498680703
95,0.475,0.7684210526315789,0.23157894736842105,0.5857339668773633
96,0.48,0.7708333333333334,0.22916666666666666,0.5853275949233787
97,0.485,0.7628865979381443,0.23711340206185566,0.5837368743024436
98,0.49,0.7551020408163265,0.24489795918367346,0.5790943125068437
99,0.495,0.7474747474747475,0.25252525252525254,0.5730130387859446
100,0.5,0.74,0.26,0.5725453365531796
101,0.505,0.7326732673267327,0.26732673267326734,0.5607894002639253
102,0.51,0.7352941176470589,0.2647058823529412,0.5518785243027234
103,0.515,0.7281553398058253,0.27184466019417475,0.5415866286074853
104,0.52,0.7307692307692307,0.2692307692307692,0.5402982768289871
105,0.525,0.7238095238095238,0.2761904761904762,0.5387919384238705
106,0.53,0.7169811320754716,0.2830188679245283,0.5338274596549443
107,0.535,0.719626168224299,0.2803738317757009,0.5326667679219248
108,0.54,0.7222222222222222,0.2777777777777778,0.5294841473871779
109,0.545,0.7155963302752294,0.28440366972477066,0.5274428906131086
110,0.55,0.7181818181818181,0.2818181818181818,0.5249292690023628
111,0.555,0.7207207207207207,0.27927927927927926,0.5237015942816394
112,0.56,0.7232142857142857,0.2767857142857143,0.5090652443734704
113,0.565,0.7256637168141593,0.2743362831858407,0.5051793293331057
114,0.57,0.7192982456140351,0.2807017543859649,0.4981207953533197
115,0.575,0.7130434782608696,0.28695652173913044,0.48604597033449265
116,0.58,0.7155172413793104,0.28448275862068967,0.480840741125607
117,0.585,0.7094017094017094,0.2905982905982906,0.48050091158652164
118,0.59,0.7033898305084746,0.2966101694915254,0.4753851081156359
119,0.595,0.7058823529411765,0.29411764705882354,0.47329412352694805
120,0.6,0.7,0.3,0.47194692473602334
121,0.605,0.7024793388429752,0.2975206611570248,0.4616686408656625
122,0.61,0.6967213114754098,0.30327868852459017,0.46139074987190754
123,0.615,0.6910569105691057,0.3089430894308943,0.46121626504377267
124,0.62,0.6854838709677419,0.31451612903225806,0.4521243549459213
125,0.625,0.68,0.32,0.444156765883265
126,0.63,0.6746031746031746,0.3253968253968254,0.4435248273843746
127,0.635,0.6771653543307087,0.3228346456692913,0.4413929560873031
128,0.64,0.671875,0.328125,0.43416464934195564
129,0.645,0.6666666666666666,0.3333333333333333,0.43246545967551236
130,0.65,0.6615384615384615,0.3384615384615385,0.4291416741080544
131,0.655,0.6641221374045801,0.33587786259541985,0.42759547986450636
