threshold,total,answered,abstained,coverage,selective_accuracy,selective_risk,correct_answered,wrong_answered
0.0,200,200,0,1.0,0.455,0.545,91,109
0.01,200,200,0,1.0,0.455,0.545,91,109
0.02,200,200,0,1.0,0.455,0.545,91,109
0.03,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.04,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.05,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.06,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.07,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.08,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.09,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.1,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.11,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.12,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.13,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.14,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.15,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.16,200,199,1,0.995,0.45226130653266333,0.5477386934673367,90,109
0.17,200,198,2,0.99,0.45454545454545453,0.5454545454545454,90,108
0.18,200,196,4,0.98,0.45918367346938777,0.5408163265306123,90,106
0.19,200,195,5,0.975,0.46153846153846156,0.5384615384615384,90,105
0.2,200,194,6,0.97,0.4639175257731959,0.5360824742268041,90,104
0.21,200,192,8,0.96,0.46875,0.53125,90,102
0.22,200,191,9,0.955,0.4712041884816754,0.5287958115183246,90,101
0.23,200,187,13,0.935,0.48128342245989303,0.5187165775401069,90,97
0.24,200,179,21,0.895,0.5027932960893855,0.4972067039106145,90,89
0.25,200,172,28,0.86,0.5232558139534884,0.47674418604651164,90,82
0.26,200,167,33,0.835,0.5389221556886228,0.46107784431137727,90,77
0.27,200,166,34,0.83,0.5421686746987951,0.4578313253012048,90,76
0.28,200,158,42,0.79,0.569620253164557,0.43037974683544306,90,68
0.29,200,157,43,0.785,0.5732484076433121,0.4267515923566879,90,67
0.3,200,155,45,0.775,0.5806451612903226,0.41935483870967744,90,65
0.31,200,154,46,0.77,0.5844155844155844,0.4155844155844156,90,64
0.32,200,152,48,0.76,0.5921052631578947,0.40789473684210525,90,62
0.33,200,148,52,0.74,0.6081081081081081,0.3918918918918919,90,58
0.34,200,145,55,0.725,0.6206896551724138,0.3793103448275862,90,55
0.35,200,144,56,0.72,0.6180555555555556,0.3819444444444444,89,55
0.36,200,144,56,0.72,0.6180555555555556,0.3819444444444444,89,55
0.37,200,142,58,0.71,0.6267605633802817,0.3732394366197183,89,53
0.38,200,140,60,0.7,0.6357142857142857,0.36428571428571427,89,51
