target_coverage,confidence_threshold,confidence_coverage,confidence_accuracy,confidence_risk,confidence_answered,hybrid_threshold,hybrid_coverage,hybrid_accuracy,hybrid_risk,hybrid_answered,risk_difference
0.1,0.97,0.08,1.0,0.0,16,0.87,0.1,0.8,0.2,20,0.2
0.2,0.94,0.21,0.9761904761904762,0.023809523809523808,42,0.79,0.205,0.8536585365853658,0.14634146341463414,41,0.12253193960511033
0.3,0.9,0.29,0.9482758620689655,0.05172413793103448,58,0.71,0.295,0.8135593220338984,0.1864406779661017,59,0.13471654003506722
0.32,0.87,0.315,0.9365079365079365,0.06349206349206349,63,0.7,0.32,0.8125,0.1875,64,0.12400793650793651
0.4,0.77,0.4,0.8875,0.1125,80,0.65,0.4,0.7875,0.2125,80,0.09999999999999999
0.5,0.56,0.5,0.84,0.16,100,0.57,0.5,0.74,0.26,100,0.1
0.54,0.5,0.54,0.7870370370370371,0.21296296296296297,108,0.53,0.535,0.719626168224299,0.2803738317757009,107,0.06741086881273795
0.6,0.37,0.6,0.7333333333333333,0.26666666666666666,120,0.47,0.6,0.7,0.3,120,0.033333333333333326
0.7,0.1,0.7,0.6428571428571429,0.35714285714285715,140,0.38,0.7,0.6357142857142857,0.36428571428571427,140,0.0071428571428571175
0.8,0.04,0.795,0.5660377358490566,0.4339622641509434,159,0.28,0.79,0.569620253164557,0.43037974683544306,158,-0.0035825173155003553
0.9,0.01,0.935,0.48128342245989303,0.5187165775401069,187,0.24,0.895,0.5027932960893855,0.4972067039106145,179,-0.021509873629492415
1.0,0.0,1.0,0.455,0.545,200,0.0,1.0,0.455,0.545,200,0.0
